,conference,acronynm,rank,area_of_research
26,ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B,Computer Hardware†
27,ACM Multimedia,ACMMM,A*,Design Practice and Management†
28,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*,Artificial Intelligence and Image Processing†
29,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B,Artificial Intelligence and Image Processing†
30,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,B,Distributed Computing†
31,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*,Data Format†
32,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*,Computer Software†
33,"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,A,Communications Technologies†
34,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,B,Computer Software†
35,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B,Distributed Computing†
36,ACM SIGUCCS Conference on User Services,SIGUCCS,National: USA,Other Information and Computing Sciences†
37,ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A,Other Information and Computing Sciences†
38,ACM Special Interest Group on Management of Data Conference,SIGMOD,A*,Data Format†
39,"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,C,Computation Theory and Mathematics†
40,ACM Symposium on Applied Computing,SAC,B,Data Format†
41,ACM Symposium on Document Engineering,DocEng,B,Information Systems†
42,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A,Data Format†
43,ACM Symposium on Principles of Distributed Computing,PODC,A*,Distributed Computing†
44,ACM Symposium on Solid and Physical Modelling,SPM,B,Computation Theory and Mathematics†
45,ACM Symposium on Theory of Computing,STOC,A*,Computation Theory and Mathematics†
46,ACM Symposium on User Interface Software and Technology,UIST,A,Information Systems†
47,ACM Virtual Reality Software and Technology,VRST,A,Artificial Intelligence and Image Processing†
48,ACM Workshop on Hot Topics in Networks,HOTNETS,National: USA,Communications Technologies†
49,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*,Computer Software†
50,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*,Computer Software†
51,ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,B,Artificial Intelligence and Image Processing†
52,ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,B,Computer Software†
53,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A,Computer Hardware†
54,ACM/IFIP/USENIX International Middleware Conference,Middleware,A,Computer Software†
55,ACM/SIAM Symposium on Discrete Algorithms,SODA,A*,Computation Theory and Mathematics†
56,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,C,Built Environment and Design†
57,Advanced Concepts for Intelligent Vision Systems,ACIVS,B,Artificial Intelligence and Image Processing†
58,Advanced Visual Interfaces,AVI,B,Artificial Intelligence and Image Processing†
59,Advances in Cryptology,CRYPTO,A*,Data Format†
60,Advances in Modal Logic,AiML,A,Computation Theory and Mathematics†
61,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*,Artificial Intelligence and Image Processing†
62,Algorithmic Learning Theory,ALT,B,Computation Theory and Mathematics†
63,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,B,Computation Theory and Mathematics†
64,American Medical Informatics Annual Fall Symposium,AMIA,National: USA,Information Systems†
65,Annual Computer Security Applications Conference,ACSAC,National: usa,Computer Software†
66,Annual Conference of the Cognitive Science Society,CogSci,A,Artificial Intelligence and Image Processing†
67,Annual Conference on Computer Science Logic,CSL,B,Rank: B
68,Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,A,Other Information and Computing Sciences†
69,"Annual Conference on Privacy, Security and Trust",PST,C,Data Format†
70,Annual International Workshop on Presence,ISPR,B,Artificial Intelligence and Image Processing†
71,Application of Concurrency to System Design,ACSD,B,Distributed Computing†
72,Applications of Information Visualization,IV-App,C,Artificial Intelligence and Image Processing†
73,Applications of Natural Language to Data Bases,NLDB,C,Information Systems†
74,Applied Computing Conference,ACC,C,Information and Computing Sciences†
75,Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,Computer Software†
76,Artificial Intelligence Applications and Innovations,AIAI,Regional,Artificial intelligence
77,Artificial Intelligence in Medicine in Europe,AIME,B,Artificial Intelligence and Image Processing†
78,"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,C,Information Systems†
79,Asia and South Pacific Design Automation Conference,ASPDAC,C,Computer Hardware†
80,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,B,Computer Software†
81,Asia Information Retrieval Symposium,AIRS,C,"Field of Research 0807 added
            
            
            (Data)"
82,Asia Pacific Conference on Communications,APCC,B,Communications Technologies†
83,Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,C,Artificial Intelligence and Image Processing†
84,Asia-Pacific Bioinformatics Conference,APBC,B,Computer Software†
85,Asia-Pacific Conference on Conceptual Modelling,APCCM,Australasian B,Computation Theory and Mathematics†
86,Asia-Pacific Conference on Simulated Evolution and Learning,SEAL,B,Artificial Intelligence and Image Processing†
87,Asia-Pacific Network Operations and Management Symposium,APNOMS,C,Distributed Computing†
88,Asia-Pacific Services Computing Conference,APSCC,C,Distributed Computing†
89,Asia-Pacific Software Engineering Conference,APSEC,B,Computer Software†
90,Asian Conference on Computer Vision,ACCV,B,Artificial Intelligence and Image Processing†
91,Asian Conference on Intelligent Information and Database Systems,ACIIDS,Unranked,Artificial intelligence
92,ASIAN Symposium on Programming Languages and Systems,APLAS,B,Computer Software†
93,"Asilomar Conference on Signals, Systems and Computing",ACSSC,National: USA,Communications Technologies†
94,Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,B,Architecture†
95,Association of Computational Linguistics,ACL,A*,Artificial Intelligence and Image Processing†
96,Australasian Computing Education Conference (ACE),ACE,Australasian B,Other Information and Computing Sciences†
97,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,Australasian C,Computation Theory and Mathematics†
98,Australasian Conference on Information Security and Privacy,ACISP,Australasian B,Data Format†
99,Australasian Conference on Robotics and Automation,ACRA,Australasian C,Artificial Intelligence and Image Processing†
100,Australasian Database Conference,ADC,Australasian B,Data Format†
101,Australasian Document Computing Symposium,ADCS,Australasian B,"All Australasian conferences given default rank of Australasian
            
            
            (Data)"
102,Australasian Information Security Conference,AISC,Australasian B,"All Australasian conferences given default rank of Australasian
            
            
            (Data)"
103,Australasian Joint Conference on Artificial Intelligence,AI,Australasian C,"All Australasian conferences given default rank of Australasian
            
            
            (Data)"
104,Australasian Language Techology Workshop,ALTA,Australasian B,"All Australasian conferences given default rank of Australasian
            
            
            (Data)"
105,Australasian Speech Science and Technology,SST,Australasian C,Artificial Intelligence and Image Processing†
106,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,Australasian C,"All Australasian conferences given default rank of Australasian
            
            
            (Data)"
107,Australian Computer Human Interaction Conference,OZCHI,Australasian B,Design Practice and Management†
108,Australian Conference on Artificial Life and Computational Intelligence,ACALCI,Australasian B,Artificial Intelligence and Image Processing†
109,Australian Data Mining Conference,AusDM,Australasian B,Data Format†
110,Australian Institute of Computer Ethics Conference,AICE,Australasian C,Information Systems†
111,Australian Software Engineering Conference,ASWEC,Australasian B,Computer Software†
112,Automated Software Engineering Conference,ASE,A,Computer Software†
113,Automation of Software Test,AST,C,Data Format†
114,Body Sensor Networks,BSN,C,Information Systems†
115,British Computer Society Conference on Human-Computer Interaction,HCI,National,Information Systems†
116,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,C,Computation Theory and Mathematics†
117,Combinatorial Pattern Matching,CPM,B,Data Format†
118,Computability in Europe: Logic and Theory of Algorithms,CiE,C,Computation Theory and Mathematics†
119,Computational Intelligence in Security for Information Systems,CISIS,National: Spain,Computer Software†
120,Computer Aided Verification,CAV,A*,Computation Theory and Mathematics†
121,"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,C,Artificial Intelligence and Image Processing†
122,Computer Graphics International,CGI,B,Artificial Intelligence and Image Processing†
123,Computer Supported Collaborative Learning,CSCL,A,Information Systems†
124,Conference for the International Simulation and Gaming Association,ISAGA,C,Computation Theory and Mathematics†
125,Conference in Uncertainty in Artificial Intelligence,UAI,A*,Artificial Intelligence and Image Processing†
126,Conference of the Association for Machine Translation in the Americas,AMTA,B,Artificial Intelligence and Image Processing†
127,Conference of the Association of Asian-Pacific Operational Research Societies,APORS,C,Computation Theory and Mathematics†
128,Conference of the European Association for Machine Translation,EAMT,B,Artificial Intelligence and Image Processing†
129,Conference of the Pacific Association for Computational Linguistics,PACLING,B,Artificial Intelligence and Image Processing†
130,Conference on Agile Software Development,XP,B,Computer Software†
131,Conference on Algorithmic Aspects in Information and Management,AAIM,C,Information Systems†
132,Conference on Combinatorial Optimization and Applications,COCOA,B,Computation Theory and Mathematics†
133,Conference on Computational Natural Language Learning,CoNLL,A,Artificial Intelligence and Image Processing†
134,Conference on File and Storage Technologies,FAST,A,Data Format†
135,Conference on Fun with Algorithms,FUN,National: Italy,Computation Theory and Mathematics†
136,Conference on Games (was Computational Intelligence and Games CIG),COG,C,Artificial Intelligence and Image Processing†
137,Conference on Information Sciences and Systems,CISS,National: USA,Information Systems†
138,"Conference on Innovation in Clouds, Internet and Networks",ICIN,National: France,CORE does not generally rank conferences held in a single country or region. See CORE website for details.
139,Conference on Innovative Data Systems Research,CIDR,A,Information Systems†
140,Conference on Integer Programming and Combinatorial Optimization,IPCO,A,Computation Theory and Mathematics†
141,"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,A,Computation Theory and Mathematics†
142,Conference on Learning Theory,COLT,A*,Artificial Intelligence and Image Processing†
143,Conference on Security and Cryptography for Networks,SCN,National: Italy,Computer Software†
144,"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,C,Engineering†
145,Conference on Software in Telecommunications and Computer Networks,SOFTCOM,National: Croatia,Computer Hardware†
146,Conference on Theory and Applications of Models of Computation,TAMC,B,Computation Theory and Mathematics†
147,Conference on Visualization and Data Analysis,VDA,National: USA,Artificial Intelligence and Image Processing†
148,"Cooperative Design, Visualization, and Engineering",CDVE,C,Artificial Intelligence and Image Processing†
149,Current Trends in Theory and Practice of Computer Science,SOFSEM,B,Information and Computing Sciences†
150,Data Compression Conference,DCC,A*,Data Format†
151,Data Warehousing and Knowledge Discovery,DaWaK,B,Data Format†
152,Database Programming Languages,DBPL,B,Data Format†
153,"Design, Automation and Test in Europe Conference",DATE,B,Communications Technologies†
154,Designing Interactive Systems,DIS,B,Design Practice and Management†
155,Developments in eSystems Engineering,DeSE,C,Information and Computing Sciences
156,Developments in Language Theory,DLT,B,Computation Theory and Mathematics†
157,Digital Audio Effects Conference,DAFX,B,Rank: B
158,Digital Games Research Conference,DIGRA,C,Information Systems†
159,Digital Image Computing Techniques and Applications,DICTA,Australasian B,Artificial Intelligence and Image Processing†
160,Discovery Science,DS,Unranked,Theory of computation
161,DNA Computing and Molecular Programming,DNA,B,Artificial Intelligence and Image Processing†
162,Dynamic Languages Symposium,DLS,B,Computer Software†
163,Educational Data Mining,EDM,B,Data Format†
164,"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,B,Computer Software†
165,Empirical Methods in Natural Language Processing,EMNLP,A,Artificial Intelligence and Image Processing†
166,Engineering Interactive Computing Systems,EICS,Unranked,Software engineering
167,Ershov Conference,PSI,National: Russia,Information Systems†
168,ETHICOMP Conference,ETHICOMP,B,Information Systems†
169,EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,C,Information and Computing Sciences†
170,Euro Virtual Reality,Euro VR,C,Artificial Intelligence and Image Processing†
171,"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,C,Computation Theory and Mathematics†
172,Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,B,Artificial Intelligence and Image Processing†
173,Eurographics/IEEE Symposium on Visualization,EuroVis,B,Artificial Intelligence and Image Processing†
174,Euromicro Conference on Real-Time Systems,ECRTS,A,Communications Technologies†
175,Euromicro Conference on Software Engineering and Advanced Applications,SEAA,B,Computer Software†
176,"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,C,Distributed Computing†
177,European Association of Computational Linguistics,EACL,A,Artificial Intelligence and Image Processing†
178,European Chapter on Combinatorial Optimization,ECCO,C,Computation Theory and Mathematics†
179,European Conference on Ambient Intelligence,AmI,C,Artificial Intelligence and Image Processing†
180,European Conference on Artificial Intelligence,ECAI,A,Artificial Intelligence and Image Processing†
181,European Conference on Computational Biology,ECCB,B,Computer Software†
182,European Conference on Computer Supported Cooperative Work,ECSCW,B,Information Systems†
183,European Conference on Computer Vision,ECCV,A,Artificial Intelligence and Image Processing†
184,European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,C,Information Systems†
185,European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,Unranked,Artificial intelligence
186,European Conference on Genetic Programming,EUROGP,B,Artificial Intelligence and Image Processing†
187,European Conference on Information Retrieval,ECIR,A,Information Systems†
188,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A,Data Format†
189,European Conference on Object-Oriented Programming,ECOOP,A,Computer Software†
190,European Conference on Operations Research,EURO,C,Computation Theory and Mathematics†
191,European Conference on Pattern Languages of Programs,EuroPLop,National: Germany,Computer Software†
192,European Conference on Software Architecture,ECSA,A,Computer Software†
193,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,C,Artificial Intelligence and Image Processing†
194,European Dependable Computing Conference,EDCC,Unranked,Distributed computing and systems software
195,European MPI Users' Group Conference,EuroMPI,C,Distributed Computing†
196,"European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (duplicate was listed as ESEC, removed from DB)",ESEC/FSE,A*,Computer Software†
197,European SPI,EuroSPI,B,Information Systems†
198,European Symposium on Algorithms,ESA,A,Computation Theory and Mathematics†
199,European Symposium on Artificial Neural Networks,ESANN,B,Artificial Intelligence and Image Processing†
200,European Symposium on Programming,ESOP,A,Computer Software†
201,European Symposium On Research In Computer Security,ESORICS,A,Computer Software†
202,European Workshop on Computational Geometry,EuroCG,C,Computation Theory and Mathematics†
203,European Workshop on Multi-Agent Systems,EUMAS,C,Artificial Intelligence and Image Processing†
204,European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,C,Data Format†
205,Eurosys Conference,EuroSys,A,Computer Software†
206,Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,C,Information Systems†
207,Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,A,Communications Technologies†
208,Extending Database Technology,EDBT,A,Data Format†
209,Financial Cryptography and Data Security Conference,FC,B,Data Format†
210,Flexible Query-Answering Systems,FQAS,C,Artificial Intelligence and Image Processing†
211,Formal Methods in Computer-Aided Design,FMCAD,Unranked,Software engineering
212,Forum on Specification and Design Languages,FDL,C,Data Format†
213,Foundations of Genetic Algorithms,FOGA,A*,Artificial Intelligence and Image Processing†
214,Foundations of Software Science and Computational Structures,FOSSACS,A,Computer Software†
215,Foundations of Software Technology and Theoretical Computer Science,FST&TCS,National: India,Computation Theory and Mathematics†
216,Frontiers in Education,FIE,B,Rank: B
217,Fundamental Approaches to Software Engineering,FASE,B,Computer Software†
218,Genetic and Evolutionary Computations,GECCO,A,Engineering†
219,Geometry Modeling and Processing,GMP,B,Computation Theory and Mathematics†
220,"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,C,Computer Software†
221,Graph Drawing,GD,A,Computation Theory and Mathematics†
222,Graphics Interface,GI,B,Artificial Intelligence and Image Processing†
223,Haskell Workshop,HASKELL,C,Computer Software†
224,HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,Unranked,Applied computing
225,Health Informatics Conference,HIC,Australasian C,Information Systems†
226,Heterogeneity in Computing Workshop,HCW,B,Distributed Computing†
227,Human System Interaction,HSI,C,Information Systems†
228,Human-Agent Interaction,HAI,Unranked,centred computing
229,IADIS International Conference Applied Computing,IADIS AC,C,Rank: C
230,IberoAmerican Congress on Pattern Recognition,CIARP,C,"Not removed. Bigger than national.
            
            
            (Data)"
231,IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,C,Artificial Intelligence and Image Processing†
232,IEEE Bioinformatics and Bioengineering,BIBE,C,Computer Software†
233,IEEE Computer Security Foundations Symposium (was CSFW),CSF,A,Computer Software†
234,IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,National:USA,Distributed computing and systems software
235,IEEE Conference on Computational Complexity,CCC,A,Computation Theory and Mathematics†
236,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,A*,Artificial Intelligence and Image Processing†
237,IEEE Conference on Local Computer Networks,LCN,A,Computer Hardware†
238,IEEE Conference on Mass Storage Systems and Technologies,MSST,National: USA,Data Format†
239,"IEEE Conference on Systems, Man and Cybernetics",SMC,B,Information Systems†
240,IEEE Conference on Virtual Reality and 3D User Interfaces,VR,A,Artificial Intelligence and Image Processing†
241,IEEE Congress on Evolutionary Computation,CEC,B,Artificial Intelligence and Image Processing†
242,IEEE Congress on Services,SERVICES,B,Information Systems†
243,IEEE Consumer Communications and Networking Conference,IEEE CCNC,B,Distributed Computing†
244,IEEE European Symposium on Security and Privacy,EuroS&P,NEW,Cybersecurity and privacy
245,IEEE Global Internet Symposium,GI,C,Distributed Computing†
246,IEEE Global Telecommunications Conference,GLOBECOM,B,Rank: B
247,IEEE Industry Applications Society Annual Conference,IAS,National: USA,Rank: C
248,IEEE Information Visualization Conference,IEEE InfoVis,A*,Artificial Intelligence and Image Processing†
249,IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,B,Communications Technologies†
250,IEEE International Conference on Automatic Face and Gesture Recognition,FG,C,Artificial Intelligence and Image Processing†
251,IEEE International Conference on Autonomic Computing,ICAC,B,Distributed Computing†
252,IEEE International Conference on Cloud Computing,CLOUD,B,Information Systems†
253,IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,C,Information Systems†
254,IEEE International Conference on Cluster Computing,CLUSTER,A,Distributed Computing†
255,IEEE International Conference on Cognitive Informatics,ICCI,C,Artificial Intelligence and Image Processing†
256,IEEE International Conference on Computer and Information Technology,CIT,C,Information and Computing Sciences†
257,IEEE International Conference on Computer Communications,INFOCOM,A*,Distributed Computing†
258,IEEE International Conference on Computer Vision,ICCV,A*,Artificial Intelligence and Image Processing†
259,IEEE International Conference on Cybernetics and Intelligent Systems,CIS,C,Artificial Intelligence and Image Processing†
260,IEEE International Conference on Data Mining,ICDM,A*,Data Format†
261,IEEE International Conference on Data Science and Engineering,ICDSE,National:India,Data management and data science
262,IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,B,Distributed Computing†
263,IEEE International Conference on Document Analysis and Recognition,ICDAR,A,"Field of Research 0801 added.
            
            
            (Data)"
264,IEEE International Conference on e-Science and Grid Computing,e-Science,A,Distributed Computing†
265,"IEEE international conference on ehealth networking applications and
 services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006)",HealthCom,C,Information Systems†
266,IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,A,Communications Technologies†
267,IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,A,Artificial Intelligence and Image Processing†
268,IEEE International Conference on Global Software Engineering,ICGSE,C,Computer Software†
269,IEEE International Conference on High Performance Computing and Communications,HPCC,B,Distributed Computing†
270,IEEE International Conference on High Performance Computing and Simulation,IEEE HPCS,B,Distributed Computing†
271,IEEE International Conference on Image Processing,ICIP,B,Artificial Intelligence and Image Processing†
272,IEEE International Conference on Information and Automation,IEEE ICIA,National: China,Artificial Intelligence and Image Processing†
273,IEEE International Conference on Information Reuse and Integration,IRI,National: USA,Data Format†
274,IEEE International Conference on Intelligence and Security Informatics,ISI,C,Computer Software†
275,IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,National: Romania,Artificial Intelligence and Image Processing†
276,IEEE International Conference on Intelligent Systems,IEEE IS,C,Artificial Intelligence and Image Processing†
277,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,B,Computer Hardware†
278,IEEE International Conference on Multimedia and Expo,ICME,B,Artificial Intelligence and Image Processing†
279,IEEE International Conference on Pervasive Computing and Communications,PERCOM,A*,Distributed Computing†
280,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,C,Computer Software†
281,IEEE International Conference on Robotics and Automation,ICRA,B,Rank: B
282,"IEEE International Conference on Sensing, Communication and Networking",SECON,B,Computer Hardware†
283,IEEE International Conference on Service-Oriented Computing and Applications,SOCA,C,Information Systems†
284,IEEE International Conference on Services Computing,SCC,A,Information Systems†
285,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,A,Computer Software†
286,IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),VCIP,B,Artificial Intelligence and Image Processing†
287,IEEE International Conference on Web Services,ICWS,A,Information Systems†
288,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",WiMob,B,"Request to rerank this from C to A. Decision to rank it as B.
            
            
            (Data)
            
            
            
            (Decision)"
289,IEEE International Enterprise Distributed Object Computing Conference,EDOC,B,Information Systems†
290,IEEE International Geoscience and Remote Sensing Symposium,IGARSS,C,Artificial Intelligence and Image Processing†
291,IEEE International Joint Conference on Neural Networks,IJCNN,A,Artificial Intelligence and Image Processing†
292,IEEE International On-Line Testing Symposium,IOLTS,C,Computer Software†
293,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,A,Distributed Computing†
294,IEEE International Performance Computing and Communications Conference,IPCCC,B,Distributed Computing†
295,IEEE International Requirements Engineering Conference,RE,A,Computer Software†
296,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,A,Computer Hardware†
297,IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,C,Computation Theory and Mathematics†
298,IEEE International Symposium on Artificial Life,IEEE Alife,A,Artificial Intelligence and Image Processing†
299,"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,A,Distributed Computing†
300,IEEE International Symposium on High Assurance Systems Engineering,HASE,B,Computer Software†
301,IEEE International Symposium on Information Theory,ISIT,B,Data Format†
302,IEEE International Symposium on Multimedia,ISM,C,Artificial Intelligence and Image Processing†
303,IEEE International Symposium on Network Computing and Applications,NCA,A,Distributed Computing†
304,IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,B,Distributed Computing†
305,IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,B,Computer Software†
306,IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,B,Computer Hardware†
307,IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping),RSP,C,Computer Software†
308,IEEE International Symposium on Real-Time Distributed Computing,ISORC,C,Distributed Computing†
309,IEEE International Symposium on Wearable Computers,ISWC,A*,Information Systems†
310,IEEE International Working Conference on Mining Software Repositories,MSR,A,Data Format†
311,IEEE International Working Conference on Software Visualisation,VISSOFT,B,Artificial Intelligence and Image Processing†
312,IEEE International Workshop on Quality of Service,IWQoS,B,Distributed Computing†
313,IEEE International Workshop on Source Code Analysis and Manipulation,SCAM,C,Computer Software†
314,IEEE LAN/MAN Workshop,LANMAN,C,Rank: C
315,IEEE Network Operations and Management Symposium,NOMS,B,Computer Hardware†
316,IEEE Pacific Visualization Symposium (was APVIS),PacificVis,B,Artificial Intelligence and Image Processing†
317,IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,A,Computer Hardware†
318,IEEE Software Engineering Workshop,SEW,C,Computer Software†
319,IEEE Swarm Intelligence Symposium,IEEE SIS,C,Artificial Intelligence and Image Processing†
320,IEEE Symposium on Computational Intelligence and Data Mining,CIDM,C,Data Format†
321,IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,C,Artificial Intelligence and Image Processing†
322,IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,C,Artificial Intelligence and Image Processing†
323,IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,C,Artificial Intelligence and Image Processing†
324,IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,C,Artificial Intelligence and Image Processing†
325,IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,C,Artificial Intelligence and Image Processing†
326,IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,C,Distributed Computing†
327,IEEE Symposium on Computer Arithmetic,ARITH,C,Computer Software†
328,IEEE Symposium on Computers and Communications,ISCC,B,Information and Computing Sciences†
329,IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,A,Computer Software†
330,IEEE Symposium on Foundations of Computer Science,FOCS,A*,Computation Theory and Mathematics†
331,IEEE Symposium on High-Performance Interconnects,HOTI,National: USA,Distributed Computing†
332,IEEE Symposium on Logic in Computer Science,LICS,A*,Computation Theory and Mathematics†
333,IEEE Symposium on Security and Privacy,SP,A*,Computer Software†
