ERA Journal Id,Title,Foreign Title,FoR 1,FoR 1 Name,FoR 2,FoR 2 Name,FoR 3,FoR 3 Name,ISSN 1,ISSN 2,ISSN 3,ISSN 4,ISSN 5,ISSN 6,ISSN 7,,,,,,
26,Algorithmica: an international journal in computer science,,MD,Multidisciplinary,,,,,0178-4617,1432-0541,,,,,,,,,,,
27,American Journal of Mathematics,,0101,Pure Mathematics,,,,,0002-9327,1080-6377,,,,,,,,,,,
28,American Mathematical Monthly,,0101,Pure Mathematics,,,,,0002-9890,1930-0972,,,,,,,,,,,
31,Analysis,,2203,Philosophy,,,,,0003-2638,1467-8284,,,,,,,,,,,
35,Annales Polonici Mathematici,,0101,Pure Mathematics,,,,,0066-2216,1730-6272,,,,,,,,,,,
38,Annals of Combinatorics,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,,,0218-0006,0219-3094,,,,,,,,,,,
39,Annals of Global Analysis and Geometry,,0101,Pure Mathematics,,,,,0232-704X,1572-9060,,,,,,,,,,,
40,Annals of Mathematics,,0101,Pure Mathematics,,,,,0003-486X,1939-8980,,,,,,,,,,,
41,Annals of Operations Research,,01,Mathematical Sciences,08,Information and Computing Sciences,15,"Commerce, Management, Tourism and Services",0254-5330,1572-9338,,,,,,,,,,,
42,Annals of Pure and Applied Logic,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,,,0168-0072,1873-2461,,,,,,,,,,,
43,Australia and New Zealand Industrial and Applied Mathematics (ANZIAM) Journal,,01,Mathematical Sciences,09,Engineering,,,1446-1811,1446-8735,,,,,,,,,,,
44,Applicable Algebra in Engineering Communication and Computing,,01,Mathematical Sciences,08,Information and Computing Sciences,,,0938-1279,1432-0622,,,,,,,,,,,
45,Applicable Analysis: an international journal,,0101,Pure Mathematics,0103,Numerical and Computational Mathematics,0913,Mechanical Engineering,0003-6811,1026-7360,1563-504X,,,,,,,,,,
46,Applicationes Mathematicae (Warsaw),,0102,Applied Mathematics,,,,,1233-7234,1730-6280,,,,,,,,,,,
48,Applied Mathematical Modelling: simulation and computation for engineering and environmental systems,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0801,Artificial Intelligence and Image Processing,0307-904X,1872-8480,,,,,,,,,,,
49,Applied Mathematics and Computation,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0096-3003,1873-5649,,,,,,,,,,,
50,Applied Mathematics Letters,,0101,Pure Mathematics,0102,Applied Mathematics,,,0893-9659,1873-5452,,,,,,,,,,,
51,Applied Numerical Mathematics,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0168-9274,1873-5460,,,,,,,,,,,
52,Archiv der Mathematik,,0101,Pure Mathematics,,,,,0003-889X,1420-8938,,,,,,,,,,,
53,Archive for Rational Mechanics and Analysis,,0101,Pure Mathematics,0102,Applied Mathematics,,,0003-9527,1432-0673,,,,,,,,,,,
55,Ars Combinatoria,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,,,0381-7032,,,,,,,,,,,,
56,The Asian Journal of Mathematics,,0101,Pure Mathematics,,,,,1093-6106,1945-0036,,,,,,,,,,,
58,Asia-Pacific Journal of Operational Research,,0102,Applied Mathematics,0802,Computation Theory and Mathematics,1503,Business and Management,0217-5959,1793-7019,,,,,,,,,,,
59,Asterisque,,0101,Pure Mathematics,,,,,0303-1179,,,,,,,,,,,,
60,Asymptotic Analysis,,0101,Pure Mathematics,0102,Applied Mathematics,,,0921-7134,1875-8576,,,,,,,,,,,
61,Australasian Journal of Combinatorics,,0101,Pure Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,1034-4942,2202-3518,,,,,,,,,,,
64,The Australian Journal of Mathematical Analysis and Applications,,0101,Pure Mathematics,0102,Applied Mathematics,,,1449-5910,,,,,,,,,,,,
67,Gazette of the Australian Mathematical Society,,0101,Pure Mathematics,,,,,0311-0729,1326-2297,,,,,,,,,,,
68,Journal of the Australian Mathematical Society,,0101,Pure Mathematics,0102,Applied Mathematics,,,1446-7887,1446-8107,,,,,,,,,,,
70,BIT Numerical Mathematics,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,0006-3835,1572-9125,,,,,,,,,,,
73,Bulletin of the Australian Mathematical Society,,0101,Pure Mathematics,,,,,0004-9727,1755-1633,,,,,,,,,,,
74,Bulletin of the Belgian Mathematical Society: Simon Stevin,,0101,Pure Mathematics,,,,,0037-5454,1370-1444,,,,,,,,,,,
75,Bulletin of the Institute of Combinatorics and its Applications,,0101,Pure Mathematics,0102,Applied Mathematics,,,1183-1278,,,,,,,,,,,,
76,Bulletin of the Korean Mathematical Society,,0101,Pure Mathematics,0102,Applied Mathematics,,,1015-8634,,,,,,,,,,,,
77,Bulletin of the London Mathematical Society,,0101,Pure Mathematics,,,,,0024-6093,1469-2120,,,,,,,,,,,
78,Bulletin of the Polish Academy of Sciences: Mathematics,,0101,Pure Mathematics,,,,,0137-639X,0239-7269,1732-8985,,,,,,,,,,
79,Calcolo,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,0008-0624,1126-5434,,,,,,,,,,,
81,Calculus of Variations and Partial Differential Equations,,0101,Pure Mathematics,0102,Applied Mathematics,,,0944-2669,1432-0835,,,,,,,,,,,
83,Canadian Journal of Mathematics,,0101,Pure Mathematics,,,,,0008-414X,1496-4279,,,,,,,,,,,
85,Canadian Mathematical Bulletin,,0101,Pure Mathematics,,,,,0008-4395,1496-4287,,,,,,,,,,,
87,Chaos: an interdisciplinary journal of nonlinear science,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0299,Other Physical Sciences,1054-1500,1089-7682,,,,,,,,,,,
88,"Chaos, Solitons and Fractals",,01,Mathematical Sciences,08,Information and Computing Sciences,09,Engineering,0960-0779,1873-2887,,,,,,,,,,,
90,Colloquium Mathematicum,,0101,Pure Mathematics,,,,,0010-1354,1730-6302,,,,,,,,,,,
91,Combinatorica: an international journal on combinatorics and the theory of computing,,01,Mathematical Sciences,08,Information and Computing Sciences,,,0209-9683,1439-6912,,,,,,,,,,,
92,Combustion Theory and Modelling,,0102,Applied Mathematics,0904,Chemical Engineering,0913,Mechanical Engineering,1364-7830,1741-3559,,,,,,,,,,,
93,Commentarii Mathematici Helvetici,,0101,Pure Mathematics,,,,,0010-2571,1420-8946,,,,,,,,,,,
94,Commentationes Mathematicae Universitatis Carolinae,,0101,Pure Mathematics,,,,,0010-2628,1213-7243,,,,,,,,,,,
95,Communications in Algebra,,0101,Pure Mathematics,,,,,0092-7872,1532-4125,,,,,,,,,,,
96,Communications in Analysis and Geometry,,0101,Pure Mathematics,,,,,1019-8385,1944-9992,,,,,,,,,,,
98,Communications in Contemporary Mathematics,,0101,Pure Mathematics,,,,,0219-1997,1793-6683,,,,,,,,,,,
99,Communications in Mathematical Physics,,0101,Pure Mathematics,0105,Mathematical Physics,0206,Quantum Physics,0010-3616,1432-0916,,,,,,,,,,,
100,Communications in Nonlinear Science and Numerical Simulation,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,1007-5704,,,,,,,,,,,,
101,Communications in Partial Differential Equations,,0101,Pure Mathematics,0102,Applied Mathematics,,,0360-5302,1532-4133,,,,,,,,,,,
103,Communications on Pure and Applied Mathematics,,0101,Pure Mathematics,0102,Applied Mathematics,,,0010-3640,1097-0312,,,,,,,,,,,
105,Compositio Mathematica,,0101,Pure Mathematics,,,,,0010-437X,1570-5846,,,,,,,,,,,
107,Comptes Rendus Mathematique (Academie des Sciences),,0101,Pure Mathematics,,,,,0764-4442,1631-073X,1778-3569,,,,,,,,,,
108,Computational and Applied Mathematics,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,0101-8205,1807-0302,,,,,,,,,,,
109,Computational Geometry: Theory and Applications,,0101,Pure Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0925-7721,,,,,,,,,,,,
110,Computational Methods in Applied Mathematics,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,1609-4840,1609-9389,,,,,,,,,,,
111,Computers and Mathematics with Applications,,01,Mathematical Sciences,08,Information and Computing Sciences,15,"Commerce, Management, Tourism and Services",0898-1221,1873-7668,,,,,,,,,,,
114,Congressus Numerantium: a conference journal on numerical themes,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0384-9864,0384-997X,,,,,,,,,,,
115,Constructive Approximation,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0104,Statistics,0176-4276,1432-0940,,,,,,,,,,,
118,Czechoslovak Mathematical Journal,,0101,Pure Mathematics,,,,,0011-4642,1572-9141,,,,,,,,,,,
119,Demonstratio Mathematica,,0101,Pure Mathematics,,,,,0420-1213,,,,,,,,,,,,
120,"Designs, Codes and Cryptography",,0101,Pure Mathematics,0802,Computation Theory and Mathematics,0804,Data Format,0925-1022,1573-7586,,,,,,,,,,,
121,Differential and Integral Equations: an international journal for theory and applications,,0101,Pure Mathematics,,,,,0893-4983,,,,,,,,,,,,
122,Differential Geometry and Its Applications,,0101,Pure Mathematics,,,,,0926-2245,1872-6984,,,,,,,,,,,
124,Discrete and Computational Geometry: an international journal of mathematics and computer science,,0101,Pure Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0179-5376,1432-0444,,,,,,,,,,,
126,Discrete and Continuous Dynamical Systems Series B: a journal bridging mathematics and sciences,,0101,Pure Mathematics,0102,Applied Mathematics,,,1531-3492,1553-524X,,,,,,,,,,,
127,Discrete Applied Mathematics,,0102,Applied Mathematics,0802,Computation Theory and Mathematics,,,0166-218X,1872-6771,,,,,,,,,,,
129,Discrete Mathematics,,0101,Pure Mathematics,0102,Applied Mathematics,0802,Computation Theory and Mathematics,0012-365X,1872-681X,,,,,,,,,,,
131,Documenta Mathematica,,0101,Pure Mathematics,,,,,1431-0635,1431-0643,,,,,,,,,,,
133,Duke Mathematical Journal,,0101,Pure Mathematics,,,,,0012-7094,1547-7398,,,,,,,,,,,
134,Dynamic Systems and Applications,,0102,Applied Mathematics,,,,,1056-2176,,,,,,,,,,,,
135,Dynamics of Continuous Discrete and Impulsive Systems Series A: Mathematical Analysis,,0102,Applied Mathematics,0906,Electrical and Electronic Engineering,,,1201-3390,,,,,,,,,,,,
138,Journal of Combinatorics,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,,,2150-959X,2156-3527,,,,,,,,,,,
139,Electronic Journal of Differential Equations,,0101,Pure Mathematics,,,,,1072-6691,1550-6150,,,,,,,,,,,
142,Electronic Transactions on Numerical Analysis,,0101,Pure Mathematics,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,1068-9613,1097-4067,,,,,,,,,,,
145,Ergodic Theory and Dynamical Systems,,0101,Pure Mathematics,0102,Applied Mathematics,0802,Computation Theory and Mathematics,0143-3857,1469-4417,,,,,,,,,,,
146,European Journal of Applied Mathematics,,0102,Applied Mathematics,,,,,0956-7925,1469-4425,,,,,,,,,,,
147,European Journal of Combinatorics,,0101,Pure Mathematics,,,,,0195-6698,1095-9971,,,,,,,,,,,
148,European Journal of Operational Research,,MD,Multidisciplinary,,,,,0377-2217,1872-6860,,,,,,,,,,,
149,Experimental Mathematics,,0101,Pure Mathematics,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,1058-6458,1944-950X,,,,,,,,,,,
150,Expositiones Mathematicae,,0101,Pure Mathematics,,,,,0723-0869,,,,,,,,,,,,
151,Extracta Mathematicae,,0101,Pure Mathematics,,,,,0213-8743,,,,,,,,,,,,
152,The Fibonacci Quarterly,,0101,Pure Mathematics,0103,Numerical and Computational Mathematics,0199,Other Mathematical Sciences,0015-0517,,,,,,,,,,,,
153,Finite Fields and Their Applications,,0101,Pure Mathematics,,,,,1071-5797,1090-2465,,,,,,,,,,,
154,Foundations of Computational Mathematics,,01,Mathematical Sciences,08,Information and Computing Sciences,,,1615-3375,1615-3383,,,,,,,,,,,
155,Fractals: an interdisciplinary journal on the complex geometry of nature,,0102,Applied Mathematics,0105,Mathematical Physics,,,0218-348X,1793-6543,,,,,,,,,,,
158,Fundamenta Mathematicae,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,,,0016-2736,1730-6329,,,,,,,,,,,
159,Fuzzy Sets and Systems,,0101,Pure Mathematics,0801,Artificial Intelligence and Image Processing,,,0165-0114,1872-6801,,,,,,,,,,,
160,General Mathematics,,0101,Pure Mathematics,,,,,1221-5023,,,,,,,,,,,,
161,Geometriae Dedicata,,0101,Pure Mathematics,,,,,0046-5755,1572-9168,,,,,,,,,,,
162,Geometric and Functional Analysis,,0101,Pure Mathematics,,,,,1016-443X,1420-8970,,,,,,,,,,,
163,Geometry and Topology,,0101,Pure Mathematics,,,,,1364-0380,1465-3060,,,,,,,,,,,
165,Glasgow Mathematical Journal,,0101,Pure Mathematics,,,,,0017-0895,1469-509X,,,,,,,,,,,
167,Graphs and Combinatorics,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,,,0911-0119,1435-5914,,,,,,,,,,,
170,Historia Mathematica,,2202,History and Philosophy of Specific Fields,,,,,0315-0860,1090-249X,,,,,,,,,,,
171,Hokkaido Mathematical Journal,,0101,Pure Mathematics,,,,,0018-3482,0385-4035,,,,,,,,,,,
172,Houston Journal of Mathematics,,0101,Pure Mathematics,,,,,0362-1588,,,,,,,,,,,,
173,Illinois Journal of Mathematics,,0101,Pure Mathematics,,,,,0019-2082,,,,,,,,,,,,
174,IMA Journal of Applied Mathematics,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0199,Other Mathematical Sciences,0272-4960,1464-3634,,,,,,,,,,,
175,IMA Journal of Management Mathematics,,0102,Applied Mathematics,1502,"Banking, Finance and Investment",,,1471-678X,1471-6798,,,,,,,,,,,
176,IMA Journal of Mathematical Control and Information,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,0265-0754,1471-6887,,,,,,,,,,,
177,IMA Journal of Numerical Analysis,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,0272-4979,1464-3642,,,,,,,,,,,
178,Indagationes Mathematicae,,0101,Pure Mathematics,,,,,0019-3577,1872-6100,,,,,,,,,,,
181,Indiana University Mathematics Journal,,0101,Pure Mathematics,0913,Mechanical Engineering,,,0022-2518,1943-5258,1943-5266,,,,,,,,,,
184,Integral Equations and Operator Theory,,0101,Pure Mathematics,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0378-620X,1420-8989,,,,,,,,,,,
185,Integral Transforms and Special Functions,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,1065-2469,1476-8291,,,,,,,,,,,
186,Interfaces and Free Boundaries,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,1463-9963,1463-9971,,,,,,,,,,,
187,International Journal for Numerical Methods in Engineering,,09,Engineering,,,,,0029-5981,1097-0207,,,,,,,,,,,
188,International Journal for Numerical Methods in Fluids,,01,Mathematical Sciences,02,Physical Sciences,09,Engineering,0271-2091,1097-0363,,,,,,,,,,,
189,International Journal of Algebra and Computation,,0101,Pure Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0218-1967,1793-6500,,,,,,,,,,,
190,International Journal of Applied Mathematics,,0102,Applied Mathematics,,,,,1311-1728,,,,,,,,,,,,
192,International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0913,Mechanical Engineering,0218-1274,1793-6551,,,,,,,,,,,
194,International Journal of Differential Equations and Applications,,0101,Pure Mathematics,0102,Applied Mathematics,,,1311-2872,,,,,,,,,,,,
195,International Journal of Mathematics,,0101,Pure Mathematics,,,,,0129-167X,1793-6519,,,,,,,,,,,
197,International Journal of Pure and Applied Mathematics,,0101,Pure Mathematics,0102,Applied Mathematics,,,1311-8080,,,,,,,,,,,,
198,International Journal of Robust and Nonlinear Control,,0102,Applied Mathematics,0906,Electrical and Electronic Engineering,0913,Mechanical Engineering,1049-8923,1099-1239,,,,,,,,,,,
200,International Transactions in Operational Research,,0102,Applied Mathematics,0806,Information Systems,1503,Business and Management,0969-6016,1475-3995,,,,,,,,,,,
201,Inventiones Mathematicae,,0101,Pure Mathematics,,,,,0020-9910,1432-1297,,,,,,,,,,,
202,Inverse Problems,,0101,Pure Mathematics,0102,Applied Mathematics,0105,Mathematical Physics,0266-5611,1361-6420,,,,,,,,,,,
203,Israel Journal of Mathematics,,0101,Pure Mathematics,0102,Applied Mathematics,,,0021-2172,1565-8511,,,,,,,,,,,
204,Italian Journal of Pure and Applied Mathematics,,0101,Pure Mathematics,0102,Applied Mathematics,,,1121-7111,1126-8042,,,,,,,,,,,
205,Journal of Applied Mathematics and Stochastic Analysis,,0102,Applied Mathematics,0104,Statistics,1502,"Banking, Finance and Investment",1048-9533,1687-2177,,,,,,,,,,,
207,Journal de Theorie des Nombres de Bordeaux,,0101,Pure Mathematics,,,,,1246-7405,,,,,,,,,,,,
210,Journal of Algebra,,0101,Pure Mathematics,,,,,0021-8693,1090-266X,,,,,,,,,,,
211,Journal of Algebra and its Applications,,0101,Pure Mathematics,,,,,0219-4988,1793-6829,,,,,,,,,,,
212,Journal of Algebraic Combinatorics: an international journal,,0101,Pure Mathematics,,,,,0925-9899,1572-9192,,,,,,,,,,,
213,Journal of Algebraic Geometry,,0101,Pure Mathematics,,,,,1056-3911,1534-7486,,,,,,,,,,,
214,Journal of Applied Analysis,,0101,Pure Mathematics,0102,Applied Mathematics,,,0137-2572,1425-6908,,,,,,,,,,,
218,Journal of Approximation Theory,,0101,Pure Mathematics,0102,Applied Mathematics,,,0021-9045,1096-0430,,,,,,,,,,,
221,Journal of Combinatorial Mathematics and Combinatorial Computing,,0101,Pure Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0835-3026,,,,,,,,,,,,
223,Journal of Combinatorial Theory: Series A,,0101,Pure Mathematics,,,,,0021-9800,0097-3165,1096-0899,,,,,,,,,,
224,Journal of Combinatorial Theory: Series B,,0101,Pure Mathematics,,,,,0095-8956,1096-0902,,,,,,,,,,,
225,Journal of Complexity,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0885-064X,1090-2708,,,,,,,,,,,
227,Journal of Computational Analysis and Applications,,01,Mathematical Sciences,08,Information and Computing Sciences,,,1521-1398,1572-9206,,,,,,,,,,,
228,Journal of Computational and Applied Mathematics,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0906,Electrical and Electronic Engineering,0377-0427,,,,,,,,,,,,
230,Journal of Concrete and Applicable Mathematics,,0102,Applied Mathematics,,,,,1548-5390,1559-176X,,,,,,,,,,,
232,Journal of Cryptology,,0101,Pure Mathematics,0103,Numerical and Computational Mathematics,0804,Data Format,0933-2790,1432-1378,,,,,,,,,,,
234,Journal of Difference Equations and Applications,,0101,Pure Mathematics,0102,Applied Mathematics,1401,Economic Theory,1023-6198,1563-5120,,,,,,,,,,,
235,Journal of Differential Equations,,0101,Pure Mathematics,0102,Applied Mathematics,,,0022-0396,1090-2732,,,,,,,,,,,
236,Journal of Differential Geometry,,0101,Pure Mathematics,,,,,0022-040X,1052-9233,1945-743X,,,,,,,,,,
237,Journal of Discrete Algorithms (Amsterdam),,0102,Applied Mathematics,0802,Computation Theory and Mathematics,,,1570-8667,1570-8675,,,,,,,,,,,
239,Journal of Engineering Mathematics,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0913,Mechanical Engineering,0022-0833,1573-2703,,,,,,,,,,,
240,Journal of Evolution Equations,,0101,Pure Mathematics,0102,Applied Mathematics,,,1424-3199,1424-3202,,,,,,,,,,,
241,Journal of Fourier Analysis and Applications,,0101,Pure Mathematics,0102,Applied Mathematics,,,1069-5869,1531-5851,,,,,,,,,,,
242,Journal of Functional Analysis,,0101,Pure Mathematics,,,,,0022-1236,1096-0783,,,,,,,,,,,
243,Journal of Geometric Analysis,,0101,Pure Mathematics,,,,,1050-6926,1559-002X,,,,,,,,,,,
244,Journal of Geometry,,0101,Pure Mathematics,,,,,0047-2468,1420-8997,,,,,,,,,,,
245,Journal of Geometry and Physics,,01,Mathematical Sciences,02,Physical Sciences,,,0393-0440,,,,,,,,,,,,
246,Journal of Global Optimization,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0925-5001,1573-2916,,,,,,,,,,,
247,Journal of Graph Theory,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,0804,Data Format,0364-9024,1063-8539,1097-0118,1520-6610,,,,,,,,,
248,Journal of Group Theory,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,,,1433-5883,1435-4446,,,,,,,,,,,
250,Journal of Integer Sequences,,0101,Pure Mathematics,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,1530-7638,,,,,,,,,,,,
251,Journal of Integral Equations and Applications,,0101,Pure Mathematics,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0897-3962,1938-2626,,,,,,,,,,,
252,Journal of Knot Theory and Its Ramifications,,0101,Pure Mathematics,0102,Applied Mathematics,,,0218-2165,1793-6527,,,,,,,,,,,
255,Journal of Lie Theory,,0101,Pure Mathematics,,,,,0940-2268,0949-5932,,,,,,,,,,,
256,Journal of Mathematical Analysis and Applications,,0101,Pure Mathematics,0102,Applied Mathematics,0906,Electrical and Electronic Engineering,0022-247X,1096-0813,,,,,,,,,,,
257,Journal of Mathematical Imaging and Vision,,0102,Applied Mathematics,0801,Artificial Intelligence and Image Processing,0802,Computation Theory and Mathematics,0924-9907,1573-7683,,,,,,,,,,,
258,Journal of Mathematical Physics,,01,Mathematical Sciences,02,Physical Sciences,,,0022-2488,1089-7658,,,,,,,,,,,
261,Journal of Nonlinear and Convex Analysis,,0101,Pure Mathematics,0102,Applied Mathematics,,,1345-4773,1880-5221,,,,,,,,,,,
263,Journal of Nonlinear Science,,0102,Applied Mathematics,,,,,0938-8974,1432-1467,,,,,,,,,,,
264,Journal of Number Theory,,0101,Pure Mathematics,,,,,0022-314X,1096-1658,,,,,,,,,,,
265,Journal of Numerical Mathematics,,0103,Numerical and Computational Mathematics,,,,,0928-0200,1569-3953,1570-2820,,,,,,,,,,
267,Journal of Operator Theory,,0101,Pure Mathematics,,,,,0379-4024,,,,,,,,,,,,
270,Journal of Physics A: Mathematical and Theoretical,,01,Mathematical Sciences,02,Physical Sciences,,,1751-8113,1751-8121,,,,,,,,,,,
271,Journal of Pure and Applied Algebra,,0101,Pure Mathematics,,,,,0022-4049,1873-1376,,,,,,,,,,,
272,Journal of Symbolic Computation,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,0747-7171,1095-855X,,,,,,,,,,,
273,The Journal of Symbolic Logic,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,2203,Philosophy,0022-4812,1943-5886,,,,,,,,,,,
274,Journal of the American Mathematical Society,,0101,Pure Mathematics,,,,,0894-0347,1088-6834,,,,,,,,,,,
276,Majalah Ilmiah Himpunan Matematika Indonesia,,0101,Pure Mathematics,,,,,0854-1388,,,,,,,,,,,,
277,Journal of the Institute of Mathematics of Jussieu,,0101,Pure Mathematics,,,,,1474-7480,1475-3030,,,,,,,,,,,
278,Korean Mathematical Society,,0101,Pure Mathematics,,,,,0304-9914,,,,,,,,,,,,
281,Journal of Mathematical Society of Japan,,0101,Pure Mathematics,,,,,0025-5645,,,,,,,,,,,,
284,Korean Mathematical Society Communications,,0101,Pure Mathematics,,,,,1225-1763,,,,,,,,,,,,
286,Kragujevac Journal of Mathematics,,0101,Pure Mathematics,,,,,0351-6962,1450-9628,,,,,,,,,,,
287,"K-Theory: interdisciplinary journal for the development, application and influence of K-theory in the mathematical sciences",,0101,Pure Mathematics,,,,,0920-3036,1573-0514,,,,,,,,,,,
292,Letters in Mathematical Physics,,01,Mathematical Sciences,02,Physical Sciences,,,0377-9017,0921-3767,1573-0530,,,,,,,,,,
293,Libertas Mathematica,,0101,Pure Mathematics,,,,,0278-5307,,,,,,,,,,,,
294,Lietuvos Matematikos Rinkinys,,0101,Pure Mathematics,,,,,0132-2818,,,,,,,,,,,,
296,Linear Algebra and Its Applications,,01,Mathematical Sciences,08,Information and Computing Sciences,09,Engineering,0024-3795,1873-1856,,,,,,,,,,,
297,Logic Journal of the IGPL,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,,,1367-0751,1368-9894,,,,,,,,,,,
303,Manuscripta Mathematica,,0101,Pure Mathematics,,,,,0025-2611,1432-1785,,,,,,,,,,,
305,Mathematica Bohemica,,0101,Pure Mathematics,,,,,0862-7959,,,,,,,,,,,,
306,Mathematica Pannonica,,0101,Pure Mathematics,,,,,0865-2090,,,,,,,,,,,,
